source_region,target_region,lag_days,te_bits,cte_bits,reverse_source_region,reverse_te_bits,reverse_cte_bits,net_directionality_bits,permutation_p,permutations,conditioning,fdr_q,significant_fdr_0_10
Synthetic_Region_B,Synthetic_Region_C,30,0.010209751231214873,0.027899122777100868,Synthetic_Region_D,0.0012017754928039372,0.0177761231458524,0.010122999631248467,0.3125,79,target t-1 state + target nutrient tertile,0.4411764705882353,False
Synthetic_Region_C,Synthetic_Region_D,21,0.021794401968340812,0.02648983355706678,Synthetic_Region_A,0.00500519438767498,0.010931861096805655,0.015557972460261124,0.15,79,target t-1 state + target nutrient tertile,0.2571428571428571,False
Synthetic_Region_C,Synthetic_Region_D,30,0.0013455620135179956,0.02612601825959669,Synthetic_Region_A,0.006051590823027636,0.01581168493092481,0.01031433332867188,0.275,79,target t-1 state + target nutrient tertile,0.44000000000000006,False
Synthetic_Region_A,Synthetic_Region_B,45,0.011643313530556313,0.02611114684472141,Synthetic_Region_C,0.003564355475319728,0.01953370014322904,0.006577446701492368,0.45,79,target t-1 state + target nutrient tertile,0.5684210526315789,False
Synthetic_Region_B,Synthetic_Region_C,21,0.01186476369675604,0.02489209967935188,Synthetic_Region_D,0.007922108054636789,0.01885304931318845,0.00603905036616343,0.3,79,target t-1 state + target nutrient tertile,0.4411764705882353,False
Synthetic_Region_B,Synthetic_Region_C,45,0.007550546020214485,0.024513242452495233,Synthetic_Region_D,0.01511470682317912,0.029433580617161902,-0.004920338164666669,0.4,79,target t-1 state + target nutrient tertile,0.5333333333333334,False
Synthetic_Region_A,Synthetic_Region_B,30,0.014472526652966972,0.02051901634615322,Synthetic_Region_C,0.01457289087537568,0.03218522707314183,-0.011666210726988608,0.65,79,target t-1 state + target nutrient tertile,0.78,False
Synthetic_Region_C,Synthetic_Region_D,45,0.0006579155127913886,0.0161267715414242,Synthetic_Region_A,0.00812116013726144,0.018611404553596046,-0.002484633012171847,0.7375,79,target t-1 state + target nutrient tertile,0.842857142857143,False
Synthetic_Region_C,Synthetic_Region_D,3,0.003179173553144854,0.008659628164275311,Synthetic_Region_A,0.005335328982051933,0.015650415394996037,-0.0069907872307207256,0.95,79,target t-1 state + target nutrient tertile,1.0,False
Synthetic_Region_D,Synthetic_Region_A,30,0.0015887539553681826,0.007869948952958516,Synthetic_Region_B,0.010121616768057947,0.02796384972125348,-0.020093900768294964,1.0,79,target t-1 state + target nutrient tertile,1.0,False
Synthetic_Region_B,Synthetic_Region_C,3,0.0013820312456213962,0.007239557766775049,Synthetic_Region_D,0.0027167596889725726,0.015354294101687711,-0.008114736334912663,0.975,79,target t-1 state + target nutrient tertile,1.0,False
