region,observations,sampling_dates,first_sample,last_sample,event_observations,event_share,a_tamarense_peak_cells_l,d_acuta_peak_cells_l,median_sst_c,median_salinity_psu,target_peak_cells_l,observed_hazard_index,farm_exposure_scenario,vulnerability_coefficient,verification_priority_index,priority_level,evidence_grade,recommended_action,hazard_evidence_source,exposure_evidence_source,decision_boundary
Åfjord,197,197,2006-04-03,2012-10-15,6,0.030456852791878174,840,80,11.9710655212402,33.3276863098145,840,73.41794812608754,0.75,1.0,55.06346109456565,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Larvik,262,262,2007-03-04,2019-09-02,4,0.015267175572519083,0,800,14.9039673890386,27.281162619590802,800,72.88670449131152,0.75,1.0,54.66502836848364,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Gulen,150,150,2006-04-18,2011-10-17,6,0.04,640,200,12.3346176147461,33.0581121444702,640,70.45748062585334,0.75,1.0,52.84311046939,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Trettøya,200,200,2010-03-01,2019-10-28,2,0.01,640,560,12.226240581936299,32.4918041229248,640,70.45748062585334,0.75,1.0,52.84311046939,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Nærøy,223,223,2007-04-16,2019-10-14,3,0.013452914798206279,280,640,11.6604995727539,33.1614074707031,640,70.45748062585334,0.75,1.0,52.84311046939,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Lofoten,236,236,2010-03-22,2019-09-30,1,0.00423728813559322,560,80,10.7613200187683,33.74130390167235,560,69.00420167362364,0.75,1.0,51.75315125521773,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Flekkerøy,181,181,2013-06-09,2019-09-23,3,0.016574585635359115,40,520,15.3364042554583,29.8544211728232,520,68.19779954662664,0.75,1.0,51.14834965996998,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Gildeskål,20,20,2015-04-20,2015-08-31,2,0.1,480,0,10.8220631182194,33.6589540243149,480,67.32694805612726,0.75,1.0,50.49521104209545,二级：加密采样复核,B：真实藻细胞计数与论文定义事件；非地方监管阈值,在24小时内增加采样频次；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Egersund,404,404,2006-05-01,2019-09-23,4,0.009900990099009901,40,440,12.97255856990815,31.777560520172102,440,66.38044344395654,0.75,1.0,49.7853325829674,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Kvitsøy,361,361,2009-03-02,2019-10-28,1,0.002770083102493075,40,440,12.308109514641,32.220692432288,440,66.38044344395654,0.75,1.0,49.7853325829674,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Grimstad,35,35,2017-02-20,2017-10-30,1,0.02857142857142857,0,400,13.5972865711559,30.1367892352017,400,65.34387997943308,0.75,1.0,49.00790998457481,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Kragerø,202,202,2006-05-02,2019-08-26,2,0.009900990099009901,80,320,16.83735831578575,28.307148138682052,320,62.918048544673,0.75,1.0,47.188536408504746,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Askvoll,57,57,2008-03-10,2009-10-19,1,0.017543859649122806,280,200,12.2698499679565,33.1518913269043,280,61.46719081573703,0.75,1.0,46.100393111802774,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Namdal,60,60,2010-03-15,2015-10-12,0,0.0,200,0,12.1798963546753,33.33769989013675,200,57.81460618478993,0.75,1.0,43.360954638592446,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Tønsberg,312,312,2006-04-03,2019-09-09,0,0.0,0,200,15.00461444854735,25.94049854278565,200,57.81460618478993,0.75,1.0,43.360954638592446,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Namsos,235,235,2007-03-19,2017-10-09,0,0.0,120,40,12.0949001312256,33.2456855773926,120,52.2818782900962,0.75,1.0,39.211408717572155,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Øygardenblåskjell,78,78,2017-03-27,2019-09-30,0,0.0,120,0,12.34178174336755,32.7179815928141,120,52.2818782900962,0.75,1.0,39.211408717572155,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Øygardenkamskjell,78,78,2017-03-27,2019-09-30,0,0.0,120,0,12.34178174336755,32.7179815928141,120,52.2818782900962,0.75,1.0,39.211408717572155,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Skråfjorden,26,26,2017-03-20,2017-09-25,0,0.0,80,80,12.36598694324495,33.259253025054946,80,47.90660761186616,0.75,1.0,35.92995570889962,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Frøya,143,143,2006-04-18,2011-10-17,0,0.0,40,80,12.251781578064,33.5070797729492,80,47.90660761186616,0.75,1.0,35.92995570889962,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
"Måløyvær,Steigen",23,23,2017-04-24,2017-09-25,0,0.0,80,0,12.1748640625565,33.3629786173503,80,47.90660761186616,0.75,1.0,35.92995570889962,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
OldøyaN,31,31,2016-03-07,2016-10-17,0,0.0,0,40,11.6923224131266,33.1884155273437,40,40.483945444864545,0.75,1.0,30.36295908364841,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Oldøya,31,31,2016-03-07,2016-10-17,0,0.0,40,40,11.6923224131266,33.1884155273437,40,40.483945444864545,0.75,1.0,30.36295908364841,三级：持续趋势核查,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持每日趋势核查；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
Gjøvika,30,30,2015-03-16,2015-10-12,0,0.0,0,0,12.054206848144549,33.14021110534665,0,0.0,0.75,1.0,0.0,四级：维持常规监测,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
RånesMindebukta,30,30,2016-03-14,2016-10-17,0,0.0,0,0,12.14825224876405,33.235715389251695,0,0.0,0.75,1.0,0.0,四级：维持常规监测,B：真实藻细胞计数与论文定义事件；非地方监管阈值,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,真实沿岸监测计数,用户设定情景；非真实养殖场暴露,加密监测优先级；不是闭区、停采或损失预测
