region,event_id,start_date,end_date,duration_days,peak_date,peak_score,maximum_scale_agreement,thermal_peak_z,event_basis
Synthetic_Region_A,9,2025-04-15,2025-04-20,6,2025-04-17,2.434060679661079,4,5.517942606756116,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_B,1,2024-02-12,2024-02-16,5,2024-02-15,2.4317823178117046,3,5.235567427483266,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_B,5,2024-09-29,2024-10-05,7,2024-10-02,2.411594003900446,3,6.101351502036613,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_A,4,2024-05-28,2024-06-02,6,2024-05-29,2.3114425403574876,4,4.825135868614369,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_A,8,2024-11-19,2024-12-01,13,2024-11-30,2.098305825088954,4,6.548971950259878,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_C,3,2024-09-08,2024-09-10,3,2024-09-08,2.081159226765994,4,2.413215269116283,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_B,7,2025-01-24,2025-01-29,6,2025-01-25,2.049272552679019,3,4.869064656328739,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_A,7,2024-11-05,2024-11-11,7,2024-11-08,2.0118383464644634,3,4.663810025469972,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_A,1,2024-01-31,2024-02-01,2,2024-01-31,1.9297304206692458,3,4.918932510892176,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_B,2,2024-03-28,2024-04-06,10,2024-04-04,1.8544068714804425,3,4.487761679000104,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_B,9,2025-08-19,2025-08-23,5,2025-08-22,1.8177226324730817,4,5.652709850787789,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_C,12,2025-11-07,2025-11-12,6,2025-11-11,1.7743763588956,3,3.363880524507488,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_D,1,2024-01-30,2024-02-01,3,2024-02-01,1.7240506194774456,2,6.18912171457308,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_A,12,2025-09-11,2025-09-11,1,2025-09-11,1.7136312715341917,3,3.084397106389633,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_D,5,2024-12-25,2024-12-28,4,2024-12-25,1.7083058474029913,4,4.691174187300925,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_B,10,2025-10-25,2025-10-26,2,2025-10-26,1.698100442711144,4,2.1907934488361467,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_D,3,2024-06-01,2024-06-08,8,2024-06-04,1.607874563507547,3,2.3864483420300546,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_C,2,2024-06-26,2024-06-28,3,2024-06-27,1.5971237268136647,3,3.3612509027322752,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_B,4,2024-08-07,2024-08-07,1,2024-08-07,1.5243107435914034,3,3.2879432955429304,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_C,4,2024-11-05,2024-11-07,3,2024-11-05,1.5073940459719464,2,5.969987360319232,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_A,6,2024-10-01,2024-10-01,1,2024-10-01,1.507087599621979,2,4.115743127752698,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_C,8,2025-03-26,2025-03-26,1,2025-03-26,1.4630514666196155,3,4.026070584882499,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_C,6,2025-02-10,2025-02-10,1,2025-02-10,1.4247813388779416,2,4.950370015544081,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_C,5,2025-01-14,2025-01-14,1,2025-01-14,1.4104054798052799,2,2.912274385130398,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_B,6,2025-01-06,2025-01-06,1,2025-01-06,1.3746131740425085,2,5.708545578174271,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_A,5,2024-06-19,2024-06-19,1,2024-06-19,1.3661652591036177,2,3.892918186836512,"median robust score across [7, 14, 30, 60]d; past-only reference"
Synthetic_Region_A,10,2025-05-15,2025-05-16,2,2025-05-16,1.3650599673850508,2,3.2884134070420066,"median robust score across [7, 14, 30, 60]d; past-only reference"
