longitude,latitude,date,sea,station,dataset
121.96,28.97,2019-08-19,东海,121.96_28.97,microalgae
121.96,28.8,2019-08-19,东海,121.96_28.8,microalgae
121.95,28.75,2019-08-19,东海,121.95_28.75,microalgae
121.98,28.8918,2019-08-19,东海,121.98_28.8918,microalgae
121.73,28.92,2019-08-20,东海,121.73_28.92,microalgae
121.84,28.79,2019-08-20,东海,121.84_28.79,microalgae
121.83,28.74,2019-08-20,东海,121.83_28.74,microalgae
110.041333,18.426611,2019-08-25,南海,110.0413_18.4266,microalgae
109.988,18.402,2019-08-26,南海,109.988_18.402,microalgae
109.977278,18.409694,2019-08-28,南海,109.9773_18.4097,microalgae
110.041333,18.426611,2019-09-21,南海,110.0413_18.4266,microalgae
109.963583,18.387,2019-09-22,南海,109.9636_18.387,microalgae
109.977278,18.409694,2019-09-23,南海,109.9773_18.4097,microalgae
109.988,18.402,2019-09-23,南海,109.988_18.402,microalgae
109.963583,18.387,2019-10-17,南海,109.9636_18.387,microalgae
109.988,18.402,2019-10-19,南海,109.988_18.402,microalgae
109.977278,18.409694,2019-10-23,南海,109.9773_18.4097,microalgae
114.34,22.08,2019-10-26,南海,114.34_22.08,microalgae
114.44,21.96,2019-10-26,南海,114.44_21.96,microalgae
113.19,21.62,2019-10-27,南海,113.19_21.62,microalgae
113.76,21.9,2019-10-27,南海,113.76_21.9,microalgae
113.27,21.4,2019-10-27,南海,113.27_21.4,microalgae
114.54,21.79,2019-10-27,南海,114.54_21.79,microalgae
113.83,21.72,2019-10-27,南海,113.83_21.72,microalgae
112.6,21.1,2019-10-28,南海,112.6_21.1,microalgae
112.44,21.53,2019-10-28,南海,112.44_21.53,microalgae
113.02,21.67,2019-10-28,南海,113.02_21.67,microalgae
112.75,21.55,2019-10-28,南海,112.75_21.55,microalgae
112.52,21.32,2019-10-28,南海,112.52_21.32,microalgae
113.7,22.0,2019-10-29,南海,113.7_22.0,microalgae
113.72,22.06,2019-10-29,南海,113.72_22.06,microalgae
113.24,21.86,2019-10-29,南海,113.24_21.86,microalgae
110.017083,18.424583,2019-12-15,南海,110.0171_18.4246,microalgae
109.980056,18.423639,2019-12-15,南海,109.9801_18.4236,microalgae
109.988,18.402,2019-12-17,南海,109.988_18.402,microalgae
109.977278,18.409694,2019-12-17,南海,109.9773_18.4097,microalgae
122.75,30.73,2020-05-25,东海,122.75_30.73,microalgae
122.72,30.71,2020-05-25,东海,122.72_30.71,microalgae
122.82,30.71,2020-05-25,东海,122.82_30.71,microalgae
119.75,26.62,2020-05-25,东海,119.75_26.62,microalgae
122.75,30.72,2020-05-25,东海,122.75_30.72,microalgae
119.81,26.56,2020-05-25,东海,119.81_26.56,microalgae
119.87,26.37,2020-05-26,东海,119.87_26.37,microalgae
119.91,26.42,2020-05-26,东海,119.91_26.42,microalgae
117.33,23.61,2020-05-27,边界过渡区,117.33_23.61,microalgae
117.7,23.94,2020-05-27,边界过渡区,117.7_23.94,microalgae
117.53,23.76,2020-05-28,边界过渡区,117.53_23.76,microalgae
117.56,23.74,2020-05-28,边界过渡区,117.56_23.74,microalgae
111.65,20.0,2020-06-01,南海,111.65_20.0,microalgae
112.03,20.0,2020-06-01,南海,112.03_20.0,microalgae
111.1,20.0,2020-06-01,南海,111.1_20.0,microalgae
111.28,20.0,2020-06-01,南海,111.28_20.0,microalgae
111.85,20.0,2020-06-01,南海,111.85_20.0,microalgae
111.47,20.0,2020-06-01,南海,111.47_20.0,microalgae
111.59,19.0,2020-06-03,南海,111.59_19.0,microalgae
111.42,19.1,2020-06-03,南海,111.42_19.1,microalgae
111.25,19.2,2020-06-03,南海,111.25_19.2,microalgae
111.07,19.3,2020-06-03,南海,111.07_19.3,microalgae
110.9,19.41,2020-06-03,南海,110.9_19.41,microalgae
111.1,18.5,2020-06-04,南海,111.1_18.5,microalgae
111.3,18.3,2020-06-04,南海,111.3_18.3,microalgae
110.9,18.7,2020-06-08,南海,110.9_18.7,microalgae
110.7,18.91,2020-06-08,南海,110.7_18.91,microalgae
110.42,18.13,2020-06-09,南海,110.42_18.13,microalgae
110.27,18.37,2020-06-09,南海,110.27_18.37,microalgae
110.73,17.62,2020-06-09,南海,110.73_17.62,microalgae
110.58,17.87,2020-06-09,南海,110.58_17.87,microalgae
112.61,20.88,2020-06-11,南海,112.61_20.88,microalgae
112.32,21.61,2020-06-11,南海,112.32_21.61,microalgae
112.51,21.13,2020-06-11,南海,112.51_21.13,microalgae
112.42,21.37,2020-06-11,南海,112.42_21.37,microalgae
112.71,20.64,2020-06-11,南海,112.71_20.64,microalgae
112.98,21.82,2020-06-12,南海,112.98_21.82,microalgae
113.27,21.09,2020-06-18,南海,113.27_21.09,microalgae
113.08,21.58,2020-06-18,南海,113.08_21.58,microalgae
113.18,21.34,2020-06-18,南海,113.18_21.34,microalgae
113.74,21.82,2020-06-19,南海,113.74_21.82,microalgae
113.64,22.07,2020-06-19,南海,113.64_22.07,microalgae
113.37,20.84,2020-06-19,南海,113.37_20.84,microalgae
113.84,21.57,2020-06-19,南海,113.84_21.57,microalgae
113.94,21.32,2020-06-20,南海,113.94_21.32,microalgae
114.34,22.22,2020-06-20,南海,114.34_22.22,microalgae
114.44,21.98,2020-06-20,南海,114.44_21.98,microalgae
114.03,21.07,2020-06-20,南海,114.03_21.07,microalgae
114.53,21.73,2020-06-21,南海,114.53_21.73,microalgae
114.99,22.47,2020-06-21,南海,114.99_22.47,microalgae
114.72,21.23,2020-06-21,南海,114.72_21.23,microalgae
114.62,21.48,2020-06-21,南海,114.62_21.48,microalgae
115.28,21.76,2020-06-22,南海,115.28_21.76,microalgae
115.09,22.24,2020-06-22,南海,115.09_22.24,microalgae
115.19,22.0,2020-06-22,南海,115.19_22.0,microalgae
115.38,21.51,2020-06-22,南海,115.38_21.51,microalgae
115.69,22.65,2020-06-23,南海,115.69_22.65,microalgae
116.07,21.67,2020-06-23,南海,116.07_21.67,microalgae
115.89,22.16,2020-06-23,南海,115.89_22.16,microalgae
115.98,21.91,2020-06-23,南海,115.98_21.91,microalgae
115.79,22.4,2020-06-23,南海,115.79_22.4,microalgae
116.75,21.86,2020-06-24,南海,116.75_21.86,microalgae
116.65,22.11,2020-06-24,南海,116.65_22.11,microalgae
116.35,22.83,2020-06-24,南海,116.35_22.83,microalgae
116.45,22.6,2020-06-24,南海,116.45_22.6,microalgae
117.42,22.11,2020-06-24,南海,117.42_22.11,microalgae
116.55,22.36,2020-06-24,南海,116.55_22.36,microalgae
117.32,22.36,2020-06-25,南海,117.32_22.36,microalgae
117.01,23.09,2020-06-25,南海,117.01_23.09,microalgae
117.22,22.6,2020-06-25,南海,117.22_22.6,microalgae
117.12,22.85,2020-06-25,南海,117.12_22.85,microalgae
114.64,22.19,2020-06-26,南海,114.64_22.19,microalgae
114.78,21.84,2020-06-26,南海,114.78_21.84,microalgae
114.92,21.5,2020-06-26,南海,114.92_21.5,microalgae
115.05,21.15,2020-06-26,南海,115.05_21.15,microalgae
115.18,20.8,2020-06-27,南海,115.18_20.8,microalgae
114.52,20.42,2020-06-28,南海,114.52_20.42,microalgae
113.99,21.79,2020-06-28,南海,113.99_21.79,microalgae
114.25,21.12,2020-06-28,南海,114.25_21.12,microalgae
114.11,21.48,2020-06-28,南海,114.11_21.48,microalgae
114.39,20.78,2020-06-28,南海,114.39_20.78,microalgae
113.7,20.46,2020-06-29,南海,113.7_20.46,microalgae
113.56,20.81,2020-06-29,南海,113.56_20.81,microalgae
113.42,21.15,2020-06-29,南海,113.42_21.15,microalgae
113.27,21.5,2020-06-29,南海,113.27_21.5,microalgae
113.84,20.04,2020-06-29,南海,113.84_20.04,microalgae
111.58,21.4,2020-07-02,南海,111.58_21.4,microalgae
111.87,20.94,2020-07-02,南海,111.87_20.94,microalgae
111.52,21.15,2020-07-02,南海,111.52_21.15,microalgae
112.01,20.71,2020-07-02,南海,112.01_20.71,microalgae
111.01,21.06,2020-07-03,南海,111.01_21.06,microalgae
111.3,20.58,2020-07-03,南海,111.3_20.58,microalgae
110.87,21.3,2020-07-03,南海,110.87_21.3,microalgae
111.16,20.83,2020-07-03,南海,111.16_20.83,microalgae
116.0,18.67,2020-07-26,南海,116.0_18.67,microalgae
114.0,18.67,2020-07-26,南海,114.0_18.67,microalgae
115.0,18.67,2020-07-26,南海,115.0_18.67,microalgae
112.7,19.07,2020-07-27,南海,112.7_19.07,microalgae
112.4,19.48,2020-07-27,南海,112.4_19.48,microalgae
113.0,18.67,2020-07-27,南海,113.0_18.67,microalgae
111.57,18.92,2020-07-27,南海,111.57_18.92,microalgae
112.19,18.09,2020-07-28,南海,112.19_18.09,microalgae
113.0,17.67,2020-07-28,南海,113.0_17.67,microalgae
114.0,17.67,2020-07-28,南海,114.0_17.67,microalgae
115.0,16.67,2020-07-29,南海,115.0_16.67,microalgae
116.0,16.67,2020-07-29,南海,116.0_16.67,microalgae
116.0,17.67,2020-07-29,南海,116.0_17.67,microalgae
115.0,17.67,2020-07-29,南海,115.0_17.67,microalgae
113.0,16.67,2020-07-30,南海,113.0_16.67,microalgae
114.0,16.67,2020-07-30,南海,114.0_16.67,microalgae
112.0,16.67,2020-07-30,南海,112.0_16.67,microalgae
110.81,18.29,2020-08-04,南海,110.81_18.29,microalgae
111.41,17.48,2020-08-05,南海,111.41_17.48,microalgae
116.0,15.67,2020-08-06,南海,116.0_15.67,microalgae
115.0,15.67,2020-08-06,南海,115.0_15.67,microalgae
113.0,15.67,2020-08-07,南海,113.0_15.67,microalgae
113.6,15.67,2020-08-07,南海,113.6_15.67,microalgae
111.67,16.08,2020-08-08,南海,111.67_16.08,microalgae
112.0,15.67,2020-08-08,南海,112.0_15.67,microalgae
111.0,17.04,2020-08-09,南海,111.0_17.04,microalgae
110.32,17.95,2020-08-09,南海,110.32_17.95,microalgae
117.53,23.76,2020-08-16,边界过渡区,117.53_23.76,microalgae
117.56,23.75,2020-08-16,边界过渡区,117.56_23.75,microalgae
117.34,23.61,2020-08-17,边界过渡区,117.34_23.61,microalgae
117.7,23.94,2020-08-17,边界过渡区,117.7_23.94,microalgae
122.72,30.71,2020-08-18,东海,122.72_30.71,microalgae
122.82,30.71,2020-08-18,东海,122.82_30.71,microalgae
119.75,26.62,2020-08-18,东海,119.75_26.62,microalgae
119.88,26.37,2020-08-18,东海,119.88_26.37,microalgae
122.75,30.72,2020-08-18,东海,122.75_30.72,microalgae
119.9,26.41,2020-08-18,东海,119.9_26.41,microalgae
122.75,30.73,2020-08-18,东海,122.75_30.73,microalgae
119.79,26.56,2020-08-18,东海,119.79_26.56,microalgae
109.9801,18.4246,2020-10-21,南海,109.9801_18.4246,microalgae
109.988,18.402,2020-10-21,南海,109.988_18.402,microalgae
110.0171,18.4246,2020-10-21,南海,110.0171_18.4246,microalgae
109.9773,18.4097,2020-10-21,南海,109.9773_18.4097,microalgae
109.9969,18.4163,2020-10-21,南海,109.9969_18.4163,microalgae
109.543,20.997,2020-11-02,南海,109.543_20.997,microalgae
108.291,21.07,2020-11-02,南海,108.291_21.07,microalgae
108.8133,21.1028,2020-11-02,南海,108.8133_21.1028,microalgae
117.34,23.61,2020-11-02,边界过渡区,117.34_23.61,microalgae
117.7,23.94,2020-11-02,边界过渡区,117.7_23.94,microalgae
117.53,23.76,2020-11-03,边界过渡区,117.53_23.76,microalgae
117.56,23.74,2020-11-03,边界过渡区,117.56_23.74,microalgae
109.0864,21.3806,2020-11-04,南海,109.0864_21.3806,microalgae
109.5441,21.4187,2020-11-04,南海,109.5441_21.4187,microalgae
119.9,26.41,2020-11-04,东海,119.9_26.41,microalgae
119.75,26.62,2020-11-04,东海,119.75_26.62,microalgae
108.7294,21.5243,2020-11-05,南海,108.7294_21.5243,microalgae
108.4716,21.5031,2020-11-05,南海,108.4716_21.5031,microalgae
108.2831,21.4609,2020-11-05,南海,108.2831_21.4609,microalgae
122.82,30.71,2020-11-06,东海,122.82_30.71,microalgae
122.75,30.73,2020-11-06,东海,122.75_30.73,microalgae
122.75,30.72,2020-11-06,东海,122.75_30.72,microalgae
108.1516,21.4878,2020-11-06,南海,108.1516_21.4878,microalgae
122.72,30.71,2020-11-07,东海,122.72_30.71,microalgae
109.0015,21.4463,2020-11-07,南海,109.0015_21.4463,microalgae
109.988,18.402,2020-12-22,南海,109.988_18.402,microalgae
109.9773,18.4097,2020-12-22,南海,109.9773_18.4097,microalgae
109.9969,18.4163,2020-12-22,南海,109.9969_18.4163,microalgae
110.0171,18.4246,2020-12-22,南海,110.0171_18.4246,microalgae
109.9801,18.4246,2020-12-22,南海,109.9801_18.4246,microalgae
109.988,18.402,2021-02-21,南海,109.988_18.402,microalgae
110.0171,18.4246,2021-02-21,南海,110.0171_18.4246,microalgae
109.9773,18.4097,2021-02-21,南海,109.9773_18.4097,microalgae
109.9969,18.4163,2021-02-21,南海,109.9969_18.4163,microalgae
109.9801,18.4246,2021-02-21,南海,109.9801_18.4246,microalgae
122.749,30.7267,2021-03-22,东海,122.749_30.7267,microalgae
122.7479,30.72,2021-03-22,东海,122.7479_30.72,microalgae
122.8232,30.7087,2021-03-22,东海,122.8232_30.7087,microalgae
122.7674,30.7055,2021-03-23,东海,122.7674_30.7055,microalgae
119.7493,26.6218,2021-03-24,东海,119.7493_26.6218,microalgae
119.7926,26.5683,2021-03-24,东海,119.7926_26.5683,microalgae
119.9041,26.4127,2021-03-25,东海,119.9041_26.4127,microalgae
119.8774,26.3679,2021-03-25,东海,119.8774_26.3679,microalgae
117.5597,23.7441,2021-03-26,边界过渡区,117.5597_23.7441,microalgae
117.5311,23.7639,2021-03-26,边界过渡区,117.5311_23.7639,microalgae
117.7047,23.9387,2021-03-26,边界过渡区,117.7047_23.9387,microalgae
117.3371,23.6073,2021-03-26,边界过渡区,117.3371_23.6073,microalgae
109.9773,18.4097,2021-04-25,南海,109.9773_18.4097,microalgae
109.9969,18.4163,2021-04-25,南海,109.9969_18.4163,microalgae
110.0171,18.4246,2021-04-25,南海,110.0171_18.4246,microalgae
109.988,18.402,2021-04-25,南海,109.988_18.402,microalgae
109.9801,18.4246,2021-04-25,南海,109.9801_18.4246,microalgae
117.5328,23.7633,2021-05-24,边界过渡区,117.5328_23.7633,microalgae
117.6997,23.9384,2021-05-24,边界过渡区,117.6997_23.9384,microalgae
117.562,23.742,2021-05-24,边界过渡区,117.562_23.742,microalgae
117.3372,23.6072,2021-05-24,边界过渡区,117.3372_23.6072,microalgae
119.7494,26.6218,2021-05-25,东海,119.7494_26.6218,microalgae
119.7925,26.5682,2021-05-25,东海,119.7925_26.5682,microalgae
119.903,26.4129,2021-05-26,东海,119.903_26.4129,microalgae
119.8771,26.3674,2021-05-26,东海,119.8771_26.3674,microalgae
122.823,30.7108,2021-05-27,东海,122.823_30.7108,microalgae
122.7489,30.7292,2021-05-27,东海,122.7489_30.7292,microalgae
122.7486,30.7211,2021-05-27,东海,122.7486_30.7211,microalgae
122.7679,30.7052,2021-05-28,东海,122.7679_30.7052,microalgae
109.988,18.402,2021-06-17,南海,109.988_18.402,microalgae
109.9801,18.4246,2021-06-17,南海,109.9801_18.4246,microalgae
109.9773,18.4097,2021-06-17,南海,109.9773_18.4097,microalgae
110.0171,18.4246,2021-06-18,南海,110.0171_18.4246,microalgae
109.9969,18.4163,2021-06-20,南海,109.9969_18.4163,microalgae
119.7493,26.6216,2021-07-28,东海,119.7493_26.6216,microalgae
119.7929,26.5676,2021-07-28,东海,119.7929_26.5676,microalgae
119.877,26.3681,2021-07-29,东海,119.877_26.3681,microalgae
119.9029,26.4129,2021-07-29,东海,119.9029_26.4129,microalgae
117.5529,23.747,2021-07-30,边界过渡区,117.5529_23.747,microalgae
117.5262,23.768,2021-07-30,边界过渡区,117.5262_23.768,microalgae
117.7046,23.9338,2021-07-30,边界过渡区,117.7046_23.9338,microalgae
117.3366,23.6068,2021-07-30,边界过渡区,117.3366_23.6068,microalgae
122.7673,30.7055,2021-08-01,东海,122.7673_30.7055,microalgae
122.8231,30.7109,2021-08-01,东海,122.8231_30.7109,microalgae
122.7478,30.7208,2021-08-01,东海,122.7478_30.7208,microalgae
122.7486,30.7292,2021-08-01,东海,122.7486_30.7292,microalgae
109.423,20.0582,2021-08-08,南海,109.423_20.0582,microalgae
109.6136,20.0697,2021-08-08,南海,109.6136_20.0697,microalgae
110.5135,20.3354,2021-08-08,南海,110.5135_20.3354,microalgae
108.99,20.0585,2021-08-08,南海,108.99_20.0585,microalgae
108.8596,19.6547,2021-08-09,南海,108.8596_19.6547,microalgae
109.3226,20.3356,2021-08-09,南海,109.3226_20.3356,microalgae
109.1409,20.7845,2021-08-10,南海,109.1409_20.7845,microalgae
109.451,20.8753,2021-08-10,南海,109.451_20.8753,microalgae
109.2059,21.0109,2021-08-10,南海,109.2059_21.0109,microalgae
109.5789,21.3427,2021-08-10,南海,109.5789_21.3427,microalgae
109.5211,21.1213,2021-08-10,南海,109.5211_21.1213,microalgae
109.2481,21.2352,2021-08-10,南海,109.2481_21.2352,microalgae
108.8197,20.7835,2021-08-11,南海,108.8197_20.7835,microalgae
108.5792,21.0265,2021-08-11,南海,108.5792_21.0265,microalgae
108.5445,20.785,2021-08-11,南海,108.5445_20.785,microalgae
108.6253,21.503,2021-08-11,南海,108.6253_21.503,microalgae
108.8688,21.0302,2021-08-11,南海,108.8688_21.0302,microalgae
108.9099,21.2552,2021-08-11,南海,108.9099_21.2552,microalgae
108.6157,21.2909,2021-08-11,南海,108.6157_21.2909,microalgae
108.2663,21.1733,2021-08-12,南海,108.2663_21.1733,microalgae
108.3297,20.9415,2021-08-12,南海,108.3297_20.9415,microalgae
108.2161,21.4087,2021-08-12,南海,108.2161_21.4087,microalgae
108.5068,20.6092,2021-08-12,南海,108.5068_20.6092,microalgae
109.9801,18.4246,2021-08-13,南海,109.9801_18.4246,microalgae
109.9773,18.4097,2021-08-13,南海,109.9773_18.4097,microalgae
109.9969,18.4163,2021-08-13,南海,109.9969_18.4163,microalgae
110.0171,18.4246,2021-08-13,南海,110.0171_18.4246,microalgae
109.988,18.402,2021-08-13,南海,109.988_18.402,microalgae
109.0948,20.605,2021-08-13,南海,109.0948_20.605,microalgae
110.1617,20.1253,2021-08-15,南海,110.1617_20.1253,microalgae
110.4091,20.1667,2021-08-15,南海,110.4091_20.1667,microalgae
109.5712,20.6025,2021-08-15,南海,109.5712_20.6025,microalgae
109.6439,20.3347,2021-08-15,南海,109.6439_20.3347,microalgae
109.8032,20.11,2021-08-15,南海,109.8032_20.11,microalgae
109.6369,17.7812,2021-09-19,南海,109.6369_17.7812,microalgae
109.6365,17.2035,2021-09-19,南海,109.6365_17.2035,microalgae
109.6336,17.5071,2021-09-19,南海,109.6336_17.5071,microalgae
109.6304,18.0839,2021-09-19,南海,109.6304_18.0839,microalgae
109.0675,17.4963,2021-09-20,南海,109.0675_17.4963,microalgae
109.0151,17.2389,2021-09-20,南海,109.0151_17.2389,microalgae
109.1247,17.7724,2021-09-20,南海,109.1247_17.7724,microalgae
109.1818,18.0536,2021-09-20,南海,109.1818_18.0536,microalgae
108.774,18.115,2021-09-20,南海,108.774_18.115,microalgae
108.4645,18.3398,2021-09-21,南海,108.4645_18.3398,microalgae
108.1486,18.1216,2021-09-21,南海,108.1486_18.1216,microalgae
108.6185,17.8992,2021-09-21,南海,108.6185_17.8992,microalgae
108.4419,17.6476,2021-09-21,南海,108.4419_17.6476,microalgae
107.9898,18.0354,2021-09-21,南海,107.9898_18.0354,microalgae
108.2311,18.6763,2021-09-22,南海,108.2311_18.6763,microalgae
107.8833,18.6517,2021-09-22,南海,107.8833_18.6517,microalgae
108.5047,18.692,2021-09-22,南海,108.5047_18.692,microalgae
107.4875,18.6562,2021-09-22,南海,107.4875_18.6562,microalgae
107.3697,19.191,2021-09-23,南海,107.3697_19.191,microalgae
108.6186,19.3539,2021-09-23,南海,108.6186_19.3539,microalgae
108.1263,19.1167,2021-09-23,南海,108.1263_19.1167,microalgae
107.6432,19.1615,2021-09-23,南海,107.6432_19.1615,microalgae
108.5048,19.0863,2021-09-23,南海,108.5048_19.0863,microalgae
108.2773,19.4663,2021-09-24,南海,108.2773_19.4663,microalgae
107.8336,19.6065,2021-09-24,南海,107.8336_19.6065,microalgae
108.41,20.0498,2021-09-25,南海,108.41_20.0498,microalgae
108.306,19.8855,2021-09-25,南海,108.306_19.8855,microalgae
108.6329,19.7406,2021-09-25,南海,108.6329_19.7406,microalgae
108.1116,19.9678,2021-09-25,南海,108.1116_19.9678,microalgae
109.4921,20.3372,2021-09-26,南海,109.4921_20.3372,microalgae
108.7616,20.3331,2021-09-26,南海,108.7616_20.3331,microalgae
117.5619,23.7336,2021-10-18,边界过渡区,117.5619_23.7336,microalgae
117.7044,23.9386,2021-10-18,边界过渡区,117.7044_23.9386,microalgae
117.3358,23.6078,2021-10-18,边界过渡区,117.3358_23.6078,microalgae
117.5239,23.7631,2021-10-18,边界过渡区,117.5239_23.7631,microalgae
119.7928,26.5672,2021-10-19,东海,119.7928_26.5672,microalgae
119.9028,26.4128,2021-10-20,东海,119.9028_26.4128,microalgae
119.8769,26.3672,2021-10-20,东海,119.8769_26.3672,microalgae
122.8231,30.7103,2021-10-21,东海,122.8231_30.7103,microalgae
122.7469,30.7166,2021-10-21,东海,122.7469_30.7166,microalgae
122.7488,30.7222,2021-10-21,东海,122.7488_30.7222,microalgae
122.7675,30.7058,2021-10-22,东海,122.7675_30.7058,microalgae
109.9773,18.4097,2021-10-24,南海,109.9773_18.4097,microalgae
110.0171,18.4246,2021-10-24,南海,110.0171_18.4246,microalgae
109.9969,18.4163,2021-10-24,南海,109.9969_18.4163,microalgae
109.9801,18.4246,2021-10-24,南海,109.9801_18.4246,microalgae
109.988,18.402,2021-10-24,南海,109.988_18.402,microalgae
109.988,18.402,2021-12-13,南海,109.988_18.402,microalgae
109.988,18.4097,2021-12-13,南海,109.988_18.4097,microalgae
110.0171,18.4246,2021-12-13,南海,110.0171_18.4246,microalgae
109.9773,18.4246,2021-12-13,南海,109.9773_18.4246,microalgae
109.9969,18.4163,2021-12-13,南海,109.9969_18.4163,microalgae
109.9773,18.4097,2021-12-13,南海,109.9773_18.4097,microalgae
110.0171,18.402,2021-12-13,南海,110.0171_18.402,microalgae
109.9801,18.4163,2021-12-13,南海,109.9801_18.4163,microalgae
