location,latitude,longitude,samples,sampling_dates,first_sample,last_sample,k_cristata_peak_cells_l,karenia_peak_cells_l,k_cristata_detection_share,k_cristata_max_share,observed_abundance_band,marker_size,observed_hazard_index,farm_exposure_scenario,vulnerability_coefficient,verification_priority_index,evidence_grade,recommended_action,priority_level,hazard_evidence_source,exposure_evidence_source,decision_boundary
Gulf St Vincent,-35.457,138.142,2,1,2025-07-16,2025-07-16,226.1802399,226.1802399,0.5,1.0,<10⁴ cells L⁻¹,24.49459387673242,32.83436286450478,0.8,1.0,26.267490291603828,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
"Stokes Bay, Kangaroo Island",-35.625,137.159,1,1,2025-05-13,2025-05-13,173.8564012,213.7590882,1.0,0.8133286994438068,<10⁴ cells L⁻¹,23.698770750109404,31.250186527046434,0.8,1.0,25.000149221637148,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-35.351,138.353,2,1,2025-07-16,2025-07-16,137.5768402,137.5768402,0.5,1.0,<10⁴ cells L⁻¹,22.991834580931194,29.842949775762534,0.8,1.0,23.874359820610028,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Goolwa Beach Site 4,-35.55078611111111,138.85085833333332,1,1,2025-05-07,2025-05-07,78.08035649,78.08035649,1.0,1.0,<10⁴ cells L⁻¹,21.286480328955736,26.448248412373715,0.8,1.0,21.158598729898973,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-34.94,137.88,1,1,2025-05-22,2025-05-22,69.61938356,69.61938356,1.0,1.0,<10⁴ cells L⁻¹,20.942467455863238,25.76345170930887,0.8,1.0,20.610761367447097,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-34.63,138.113,1,1,2025-07-16,2025-07-16,0.0,0.003258304,0.0,0.0,未检出/报告为0,8.0,0.0,0.8,1.0,0.0,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-34.786,138.3,1,1,2025-05-22,2025-05-22,0.0,0.0,0.0,0.0,未检出/报告为0,8.0,0.0,0.8,1.0,0.0,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-35.137,137.878,1,1,2025-05-22,2025-05-22,0.0,0.0,0.0,0.0,未检出/报告为0,8.0,0.0,0.8,1.0,0.0,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Goolwa Beach Site 3,-35.53906388888889,138.8189888888889,1,1,2025-05-07,2025-05-07,0.0,0.0,0.0,0.0,未检出/报告为0,8.0,0.0,0.8,1.0,0.0,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Gulf St Vincent,-34.674,138.358,2,1,2025-07-16,2025-07-16,0.0,0.0,0.0,0.0,未检出/报告为0,8.0,0.0,0.8,1.0,0.0,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
Port River Dock,-34.761,138.51,1,1,2025-07-14,2025-07-14,0.0,0.0,0.0,0.0,未检出/报告为0,8.0,0.0,0.8,1.0,0.0,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
West Lakes Inlet,-34.878,138.486,1,1,2025-07-14,2025-07-14,0.0,0.0,0.0,0.0,未检出/报告为0,8.0,0.0,0.8,1.0,0.0,B：现场qPCR藻量；毒素机制为事件级外部证据,维持常规监测；加密藻种、毒素和贝类组织采样；是否停采必须依据当地监管阈值,四级：维持常规监测,真实现场qPCR观测,用户设定情景；非真实养殖场暴露,现场复核优先级；不是损失概率或监管阈值
