intervention,peak_pressure_index,mean_pressure_index,ending_pressure_index,pressure_load_index_hours,minimum_effective_do_mg_l,mean_feeding_opportunity_pct,response_readiness_hours,pressure_band,scenario_interpretation,scenario_id,hab_multiplier,mhw_delta_c,do_delta_mg_l,density_multiplier,pressure_load_reduction_pct,lowest_pressure,pareto_efficient
降低投喂+增氧,43.9991,29.70043150684932,43.9991,2142.13195,5.8081,42.21478493150685,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,9,0.9,-0.4,0.5,1.1,17.66665887072019,True,True
维持监测,57.7268,38.014289041095886,57.7268,2742.1797,3.3655,50.912263013698634,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,10,0.9,0.0,-0.5,0.9,0.0,False,False
降低投喂40%,56.6728,37.34478493150685,56.6728,2693.8329,3.4345,30.831780821917818,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,10,0.9,0.0,-0.5,0.9,1.7630792030150415,False,False
启动增氧,49.9867,33.29459178082192,49.9867,2401.51185,4.8655,62.34792465753425,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,10,0.9,0.0,-0.5,0.9,12.423250379980576,False,True
转移准备（未执行）,57.7268,38.014289041095886,57.7268,2742.1797,3.3655,50.912263013698634,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,10,0.9,0.0,-0.5,0.9,0.0,False,False
降低投喂+增氧,49.0346,32.71225342465753,49.0346,2359.4772000000003,4.9345,37.86613424657534,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,10,0.9,0.0,-0.5,0.9,13.95614226157388,True,True
维持监测,58.7069,38.622195890410964,58.7069,2786.06685,3.2841,50.426071232876716,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,11,0.9,0.0,-0.5,1.0,0.0,False,False
降低投喂40%,57.6507,37.94778630136986,57.6507,2737.36305,3.3619,30.54433698630137,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,11,0.9,0.0,-0.5,1.0,1.7481202936677642,False,False
启动增氧,51.2579,34.062279452054796,51.2579,2456.91745,4.7841,61.36300410958905,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,11,0.9,0.0,-0.5,1.0,11.814124273435873,False,True
转移准备（未执行）,58.7069,38.622195890410964,58.7069,2786.06685,3.2841,50.426071232876716,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,11,0.9,0.0,-0.5,1.0,0.0,False,False
降低投喂+增氧,50.2228,33.42509726027397,50.2228,2410.9206999999997,4.8619,37.32946164383562,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,11,0.9,0.0,-0.5,1.0,13.465080710464663,True,True
维持监测,59.4208,39.06642465753425,59.4208,2818.1386,3.2237,50.082398630136986,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,12,0.9,0.0,-0.5,1.1,0.0,False,False
降低投喂40%,58.365,38.38966575342466,58.365,2769.2631,3.3081,30.339823287671233,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,12,0.9,0.0,-0.5,1.1,1.7343185320977506,False,False
启动增氧,52.2048,34.63667808219178,52.2048,2498.3751,4.7237,60.63067123287671,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,12,0.9,0.0,-0.5,1.1,11.346620780113511,False,True
转移准备（未执行）,59.4208,39.06642465753425,59.4208,2818.1386,3.2237,50.082398630136986,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,12,0.9,0.0,-0.5,1.1,0.0,False,False
降低投喂+增氧,51.1106,33.95989178082192,51.1106,2449.5168,4.8081,36.92852876712329,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,12,0.9,0.0,-0.5,1.1,13.08032898027089,True,True
维持监测,56.0804,37.00037808219177,56.0804,2668.9874,3.8655,53.4227904109589,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,13,0.9,0.0,0.0,0.9,0.0,False,False
降低投喂40%,54.994,36.316004109589045,54.994,2619.5713,3.9345,32.425089041095895,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,13,0.9,0.0,0.0,0.9,1.8514924424146744,False,False
启动增氧,46.5668,31.248889041095893,46.5668,2253.8855000000003,5.3655,67.11996301369865,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,13,0.9,0.0,0.0,0.9,15.552786049121089,False,True
转移准备（未执行）,56.0804,37.00037808219177,56.0804,2668.9874,3.8655,53.4227904109589,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,13,0.9,0.0,0.0,0.9,0.0,False,False
降低投喂+增氧,45.8618,30.824595890410958,45.8618,2223.2645999999995,5.4345,40.63500136986302,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,13,0.9,0.0,0.0,0.9,16.70007134540989,True,True
维持监测,57.1823,37.68023835616438,57.1823,2718.06625,3.7841,52.73458767123287,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,14,0.9,0.0,0.0,1.0,0.0,False,False
降低投喂40%,56.0764,36.979571232876715,56.0764,2667.4705,3.8619,32.025806849315074,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,14,0.9,0.0,0.0,1.0,1.8614612502546601,False,False
启动增氧,47.7232,31.937861643835618,47.7232,2303.6023,5.2841,66.26801780821917,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,14,0.9,0.0,0.0,1.0,15.248485941061952,False,True
转移准备（未执行）,57.1823,37.68023835616438,57.1823,2718.06625,3.7841,52.73458767123287,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,14,0.9,0.0,0.0,1.0,0.0,False,False
降低投喂+增氧,46.9253,31.454775342465755,46.9253,2268.7359500000002,5.3619,40.18432465753425,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,14,0.9,0.0,0.0,1.0,16.531249008371287,True,True
维持监测,57.9839,38.176601369863015,57.9839,2753.89995,3.7237,52.24710821917808,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,15,0.9,0.0,0.0,1.1,0.0,False,False
降低投喂40%,56.8671,37.46606301369863,56.8671,2702.5890499999996,3.8081,31.740797260273972,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,15,0.9,0.0,0.0,1.1,1.8632085744436868,False,False
启动增氧,48.6002,32.4625602739726,48.6002,2341.4668,5.2237,65.61431369863016,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,15,0.9,0.0,0.0,1.1,14.976330204007589,False,True
转移准备（未执行）,57.9839,38.176601369863015,57.9839,2753.89995,3.7237,52.24710821917808,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,15,0.9,0.0,0.0,1.1,0.0,False,False
降低投喂+增氧,47.731,31.934008219178082,47.731,2303.3171,5.3081,39.83843835616439,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,15,0.9,0.0,0.0,1.1,16.361627444018065,True,True
维持监测,53.4305,35.37960547945206,53.4305,2551.99595,4.3655,57.3731397260274,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,16,0.9,0.0,0.5,0.9,0.0,False,False
降低投喂40%,52.3537,34.710049315068495,52.3537,2503.65675,4.4345,34.87598493150685,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,16,0.9,0.0,0.5,0.9,1.8941722850304639,False,False
启动增氧,43.9677,29.711319178082192,43.9677,2142.94245,5.8655,70.6405205479452,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,16,0.9,0.0,0.5,0.9,16.028767600512847,False,True
转移准备（未执行）,53.4305,35.37960547945206,53.4305,2551.99595,4.3655,57.3731397260274,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,16,0.9,0.0,0.5,0.9,0.0,False,False
降低投喂+增氧,43.5313,29.451810958904108,43.5313,2124.21655,5.9345,42.61607671232876,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,16,0.9,0.0,0.5,0.9,16.762542275978138,True,True
维持监测,54.662,36.13268767123287,54.662,2606.3552,4.2841,56.470094520547946,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,17,0.9,0.0,0.5,1.0,0.0,False,False
降低投喂40%,53.5354,35.427745205479454,53.5354,2555.4577,4.3619,34.36668493150685,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,17,0.9,0.0,0.5,1.0,1.952822853922598,False,False
启动增氧,44.9262,30.275995890410957,44.9262,2183.6846,5.7841,70.02951780821918,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,17,0.9,0.0,0.5,1.0,16.216922390317325,False,True
转移准备（未执行）,54.662,36.13268767123287,54.662,2606.3552,4.2841,56.470094520547946,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,17,0.9,0.0,0.5,1.0,0.0,False,False
降低投喂+增氧,44.4162,29.971235616438356,44.4162,2161.6921,5.8619,42.29679863013699,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,17,0.9,0.0,0.5,1.0,17.060725261084897,True,True
维持监测,55.5641,36.68662602739725,55.5641,2646.34165,4.2237,55.81879315068493,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,18,0.9,0.0,0.5,1.1,0.0,False,False
降低投喂40%,54.4051,35.95807945205479,54.4051,2593.73725,4.3081,33.996652054794524,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,18,0.9,0.0,0.5,1.1,1.9878158967115873,False,False
启动增氧,45.6588,30.70907397260274,45.6588,2214.933,5.7237,69.55099589041096,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,18,0.9,0.0,0.5,1.1,16.302076869024066,False,True
转移准备（未执行）,55.5641,36.68662602739725,55.5641,2646.34165,4.2237,55.81879315068493,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,18,0.9,0.0,0.5,1.1,0.0,False,False
降低投喂+增氧,45.0893,30.367532876712332,45.0893,2190.28525,5.8081,42.04794383561644,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,18,0.9,0.0,0.5,1.1,17.233466434691074,True,True
维持监测,58.2439,38.34804657534246,58.2439,2766.2854500000003,3.3655,50.77300684931507,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,19,0.9,0.4,-0.5,0.9,0.0,False,False
降低投喂40%,57.1984,37.68215479452055,57.1984,2718.1981,3.4345,30.747127397260275,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,19,0.9,0.4,-0.5,0.9,1.73833651187372,False,False
启动增氧,50.5506,33.64755753424657,50.5506,2426.9964,4.8655,62.20234657534247,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,19,0.9,0.4,-0.5,0.9,12.265149643179457,False,True
转移准备（未执行）,58.2439,38.34804657534246,58.2439,2766.2854500000003,3.3655,50.77300684931507,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,19,0.9,0.4,-0.5,0.9,0.0,False,False
降低投喂+增氧,49.6064,33.06849452054795,49.6064,2385.1969,4.9345,37.77731917808219,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,19,0.9,0.4,-0.5,0.9,13.776183148416601,True,True
维持监测,59.2181,38.95351643835617,59.2181,2809.99765,3.2841,50.28785753424657,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,20,0.9,0.4,-0.5,1.0,0.0,False,False
降低投喂40%,58.1704,38.2827301369863,58.1704,2761.5541000000003,3.3619,30.460295890410958,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,20,0.9,0.4,-0.5,1.0,1.7239711926449302,False,False
启动增氧,51.8137,34.41195479452055,51.8137,2482.1658500000003,4.7841,61.21912602739725,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,20,0.9,0.4,-0.5,1.0,11.666621856427515,False,True
转移准备（未执行）,59.2181,38.95351643835617,59.2181,2809.99765,3.2841,50.28785753424657,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,20,0.9,0.4,-0.5,1.0,0.0,False,False
降低投喂+增氧,50.7873,33.778335616438355,50.7873,2436.4248500000003,4.8619,37.2415301369863,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,20,0.9,0.4,-0.5,1.0,13.294416812056747,True,True
维持监测,59.9277,39.395964383561655,59.9277,2841.94155,3.2237,49.944941095890414,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,21,0.9,0.4,-0.5,1.1,0.0,False,False
降低投喂40%,58.8804,38.72283561643835,58.8804,2793.3268,3.3081,30.25624109589041,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,21,0.9,0.4,-0.5,1.1,1.7106175178022287,False,False
启动增氧,52.7546,34.98389589041096,52.7546,2523.4471000000003,4.7237,60.48805342465753,10,较高：建议加密监测,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,21,0.9,0.4,-0.5,1.1,11.206931754103095,False,True
转移准备（未执行）,59.9277,39.395964383561655,59.9277,2841.94155,3.2237,49.944941095890414,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,21,0.9,0.4,-0.5,1.1,0.0,False,False
降低投喂+增氧,51.6695,34.31088082191781,51.6695,2474.8595499999997,4.8081,36.841249315068495,8,较高：建议加密监测,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,21,0.9,0.4,-0.5,1.1,12.916592179737135,True,True
维持监测,56.6072,37.338124657534244,56.6072,2693.3795,3.8655,53.28255068493151,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,22,0.9,0.4,0.0,0.9,0.0,False,False
降低投喂40%,55.5296,36.65747534246576,55.5296,2644.2308999999996,3.9345,32.339657534246584,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,22,0.9,0.4,0.0,0.9,1.8247929784867094,False,False
启动增氧,47.1526,31.610691780821917,47.1526,2280.0042000000003,5.3655,66.97025479452054,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,22,0.9,0.4,0.0,0.9,15.34782974326491,False,True
转移准备（未执行）,56.6072,37.338124657534244,56.6072,2693.3795,3.8655,53.28255068493151,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,22,0.9,0.4,0.0,0.9,0.0,False,False
降低投喂+增氧,46.4536,31.188831506849304,46.4536,2249.5579,5.4345,40.543997260273976,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,22,0.9,0.4,0.0,0.9,16.478242297455676,True,True
维持监测,57.7024,38.015227397260276,57.7024,2742.2604,3.7841,52.59558767123288,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,23,0.9,0.4,0.0,1.0,0.0,False,False
降低投喂40%,56.6054,37.318345205479446,56.6054,2691.9365,3.8619,31.941089041095893,12,较高：建议加密监测,降低代谢与耗氧代理负荷，同时牺牲短期摄食机会,23,0.9,0.4,0.0,1.0,1.8351247751672424,False,False
启动增氧,48.3015,32.29664931506849,48.3015,2329.50465,5.2841,66.11997260273972,10,中等：持续跟踪变化,演示性增加有效溶解氧，不代表具体设备的现场增氧能力,23,0.9,0.4,0.0,1.0,15.05166139583244,False,True
转移准备（未执行）,57.7024,38.015227397260276,57.7024,2742.2604,3.7841,52.59558767123288,4,较高：建议加密监测,只缩短响应准备时间；未执行转移，因此不降低藻华暴露或生理压力,23,0.9,0.4,0.0,1.0,0.0,False,False
降低投喂+增氧,47.5104,31.81633698630137,47.5104,2294.8374,5.3619,40.09412054794521,8,中等：持续跟踪变化,联合演示降低耗氧代理负荷与提高有效溶解氧的权衡,23,0.9,0.4,0.0,1.0,16.315846591374044,True,True
维持监测,58.4991,38.5095698630137,58.4991,2777.94905,3.7237,52.108976712328776,18,较高：建议加密监测,不改变投喂或供氧，仅持续监测并保留基准轨迹,24,0.9,0.4,0.0,1.1,0.0,False,False
